,State Names,Unemployed_2000,Unemployed_2001,Unemployed_2002,Unemployed_2003,Unemployed_2004,Unemployed_2005,Unemployed_2006,Unemployed_2007,Unemployed_2008,Unemployed_2009,Unemployed_2010,Unemployed_2011,Unemployed_2012,Unemployed_2013,Unemployed_2014,Unemployed_2015,Unemployed_2016,Unemployed_2017,Unemployed_2018,Unemployed_2019,Unemployed_2020,Unemployed_2021,Unemployed_2022
0,Alabama,99442,110560,124988,127100,119523,95122,86800,88418,127275,217809,228204,210958,177660,159274,146010,131852,126572,99585,87839,72498,145263,76019,59358
1,Alaska,20187,20230,23494,25530,25075,23884,23084,21924,22934,28661,29522,28287,26319,25440,24577,22821,23824,23481,21431,19801,28852,22633,14399
2,Arizona,99786,122848,165451,157552,139054,133499,127625,113661,179295,302465,318912,288176,254709,239213,212248,193900,177617,160411,159708,165058,271187,178381,138128
3,Arkansas,52674,60105,67958,73995,72832,70217,70532,72909,73541,104649,106576,107388,98005,94000,78193,66516,53461,50234,49053,47426,83166,54336,45418
4,California,825917,935919,1165056,1190384,1080951,944309,863334,955326,1323825,2112831,2292082,2186154,1943842,1677544,1412174,1176732,1046610,927302,819595,795311,1923991,1387063,811079
5,Colorado,64267,91465,139264,151965,141801,130248,111902,99402,132686,215121,248727,236790,219407,186572,139596,105764,90653,77810,92924,82755,208768,171906,97094
6,Connecticut,37100,50601,78276,97357,90389,86366,80698,82961,105727,157013,183168,172478,157858,148544,124984,106299,91810,84878,74502,69870,149621,116306,80470
7,Delaware,14768,15046,17790,18580,18101,19547,17233,16103,22571,36665,37808,33742,31473,29336,25312,22197,21168,21265,17826,17495,36532,27161,22430
8,Florida,297174,356758,398128,362231,313725,246933,219940,300155,520246,860538,991706,926229,806664,708604,614967,532965,481064,428098,368708,334148,821101,480794,313266
9,Georgia,147329,174373,229990,227279,228479,261895,239043,236962,328435,499320,502515,480448,431249,386754,338792,287573,268074,243076,204434,184537,328962,201559,159182
10,Hawaii,25659,26177,24170,23584,20158,17677,16053,17486,25759,42172,44339,45164,38430,30973,28101,22978,19564,15438,16608,17349,77906,40361,23622
11,Idaho,30838,34368,38631,38403,34234,28954,25627,23132,37848,66801,66882,62545,57143,53061,34132,30893,29741,26901,24667,25523,49471,32240,25314
12,Illinois,288369,351000,415901,425386,392977,366082,297770,337789,430763,673081,694231,641744,594235,595392,467313,391863,386366,324358,286572,260782,590812,385984,295787
13,Indiana,94415,133495,163746,167061,171256,172957,160219,148041,191197,336362,321042,284614,260631,240011,191839,156601,145401,116644,115774,112371,243638,130582,101811
14,Iowa,42966,53711,64869,71426,72804,69988,60580,61648,69750,107498,102451,94289,83944,79426,72042,63082,61012,51835,43994,46462,86248,64200,46961
15,Kansas,52765,59746,72172,79950,80555,74113,64603,63305,68343,104430,104291,95802,85170,78925,67311,62249,60041,53830,50156,49289,87557,49473,40098
16,Kentucky,81168,101791,112432,121503,108185,116979,115564,109777,131950,222762,212721,193332,168975,163118,128967,103632,101166,98164,86691,85103,130929,89628,79945
17,Louisiana,104408,113665,120705,127012,115894,148723,81821,83145,96016,140673,156742,154487,141014,135219,133851,134969,129051,107998,101760,97763,177595,115485,76350
18,Maine,22508,25331,30258,35266,31907,34104,32946,32692,37489,58556,58848,54012,50415,47182,39027,30309,26194,23707,22272,20335,33940,31827,19910
19,Maryland,98961,118836,137390,138058,132925,131621,124396,111323,136426,230472,241423,226443,214429,204282,179106,156905,135091,129316,124150,113048,210055,168222,102813
20,Massachusetts,94210,128540,179347,195695,173839,162583,160659,155327,183607,280925,280687,251677,235201,233545,204704,172113,145171,142131,132571,116181,350774,207291,140752
21,Michigan,187817,266726,311436,357218,352186,343901,355349,354668,402532,638574,580853,467194,423499,413509,343703,258391,241690,225394,205713,202560,483886,277993,203427
22,Minnesota,85110,107088,128259,138519,132732,118489,117442,133250,157560,232082,218073,192127,166589,149276,127310,113741,116762,107176,92432,101308,196146,115175,82580
23,Mississippi,70041,71197,82994,80027,80859,100048,81328,79789,86517,118674,132190,131352,117205,108225,94657,81997,75595,66583,62698,70502,99638,68614,49142
24,Missouri,100983,134748,157736,168676,176121,163301,147858,155615,189651,276814,289339,262298,215322,204083,187028,156392,139447,114220,98486,99118,185933,124810,76939
25,Montana,22686,21489,21286,22251,21552,19818,16440,16966,24019,35815,36087,33279,29385,27401,23875,22176,22470,21570,19927,19055,31789,18629,14945
26,Nebraska,26229,29712,35104,38123,37914,36845,29489,28725,32067,45952,46814,44310,39359,37366,32999,30340,31096,30423,30128,32847,44946,28254,24836
27,Nevada,44126,57760,64495,60483,52446,50862,52249,61795,94318,160315,186981,181138,158475,136706,112660,95667,81843,72240,65408,63666,203641,103848,83646
28,New Hampshire,18196,23463,31583,31551,27224,26435,25729,25905,27805,45440,45208,40194,40348,39013,32016,25485,21476,21215,20184,20024,50993,25741,19333
29,New Jersey,156816,182271,250884,252922,213984,194908,204798,187110,244481,406937,440796,427078,429065,380358,302576,256730,221620,208802,184074,161970,437937,308891,175691
30,New Mexico,42484,42531,47575,51861,49460,47285,38367,33108,39983,65686,72260,66943,64825,64203,61380,62094,63730,57593,46576,47391,73571,66652,38155
31,New York,413004,445991,576533,593856,543880,469312,429417,422736,519829,810105,839690,796090,827516,752157,598239,500530,464155,455420,401914,379452,935358,671757,411168
32,North Carolina,154654,235835,292056,287451,251731,243718,228299,230902,281872,509124,497912,477802,448820,365012,287640,269939,246395,219688,196268,192382,347623,241917,188331
33,North Dakota,10146,9723,11611,12007,11958,11790,11302,11130,11397,14628,14021,12949,11602,11590,10720,11468,12777,10864,9868,9052,20384,12536,8731
34,Ohio,237102,254737,337401,364037,366496,349262,321252,337945,393367,600044,604169,509752,422083,425318,331389,282926,290383,289496,261865,244879,473768,293954,230950
35,Oklahoma,49568,60874,77881,90966,79706,74285,66922,68475,62477,116090,115206,98821,91277,92305,77943,78545,84830,73539,60005,57812,116031,74634,56979
36,Oregon,94214,115717,137360,147846,135846,114187,101119,98587,121283,213209,213715,191674,173414,149553,129926,108189,96696,84179,83561,77584,159795,112183,90795
37,Pennsylvania,257590,296087,345240,349833,334221,312755,295203,288943,342968,510165,522107,495001,493614,457707,378984,346753,344247,323340,287771,285812,581383,386386,282692
38,Rhode Island,21701,24129,28043,31202,29190,28904,29911,29130,43042,65273,66548,61952,57307,52971,43229,33505,28793,25592,23134,20270,52236,31516,18235
39,South Carolina,72922,102710,125813,143886,152142,151467,147453,130705,157181,247430,246093,227678,197246,163472,139485,133750,111753,95058,76666,64693,139855,92908,77048
40,South Dakota,10372,12421,13450,14627,15335,15273,12944,12385,13542,20177,21803,20499,18113,16645,15036,13798,13715,13889,12789,12976,19606,12409,9815
41,Tennessee,110241,129038,148524,160215,154881,160266,158670,141312,198685,307524,304062,284214,246595,238765,201033,171532,148720,119517,113261,111606,246521,149410,113471
42,Texas,455364,524310,680965,734082,662144,611321,564326,500878,567244,900971,1004656,1000726,844490,809763,673126,587497,617938,585966,535333,492708,1071529,807358,569725
43,Utah,38110,50827,66852,66463,61694,51826,37993,35401,46252,99631,107266,94630,64408,58348,51426,51512,50156,48939,46199,41106,79599,46201,40380
44,Vermont,9388,11165,13181,15141,12797,12114,13162,13901,16061,22264,22772,19897,17048,15491,13955,12250,10808,10687,8790,7490,19268,12469,9038
45,Virginia,81909,121438,162969,163214,156108,149962,132218,132788,175866,282835,304827,276176,250378,236320,217948,185900,169526,159687,130779,122471,280533,168742,127053
46,Washington,157856,185301,219675,226245,201073,182714,165704,156610,182379,286984,316342,293412,265444,229825,207249,193577,189031,172929,168546,166916,332714,203002,168024
47,West Virginia,44624,42939,51669,51945,45538,43355,41585,38788,37960,67400,70210,63222,58435,53632,51778,52071,47899,40958,40813,39390,64276,39744,30662
48,Wisconsin,100906,133376,160526,171342,151048,143991,142691,148722,153057,279202,262315,232170,212883,205813,164217,137159,121722,102409,93239,98901,197294,118698,90079
49,Wyoming,9975,10221,10834,11809,10549,9911,8516,7676,8711,18770,20940,18659,16638,14409,13171,12714,16107,12638,11875,10887,17260,13406,10413
